,tiff_file,layer_name,x_pixel,y_pixel,original_image,x_pixel_end,y_pixel_end
11385,StitchMICE_IHgu16_4_1022_CP_FINAL_832_832_19.tif,01 Whitecoats,204.0,508.0,StitchMICE_IHgu16_4_1022_CP_FINAL.tif,264.0,568.0
44283,StitchMICE_OHpa16_1_0930_CP_FINAL_832_832_15.tif,01 Whitecoats,776.0,245.0,StitchMICE_OHpa16_1_0930_CP_FINAL.tif,836.0,305.0
44284,StitchMICE_OHpa16_1_0930_CP_FINAL_832_832_15.tif,01 Whitecoats,306.0,52.0,StitchMICE_OHpa16_1_0930_CP_FINAL.tif,366.0,112.0
48403,StitchMICE_OHss16_1_1001_CP_FINAL_832_832_18.tif,01 Whitecoats,460.0,654.0,StitchMICE_OHss16_1_1001_CP_FINAL.tif,520.0,714.0
48404,StitchMICE_OHss16_1_1001_CP_FINAL_832_832_18.tif,01 Whitecoats,660.0,14.0,StitchMICE_OHss16_1_1001_CP_FINAL.tif,720.0,74.0
48406,StitchMICE_OHss16_1_1001_CP_FINAL_832_832_18.tif,01 Whitecoats,431.0,267.0,StitchMICE_OHss16_1_1001_CP_FINAL.tif,491.0,327.0
48407,StitchMICE_OHss16_1_1001_CP_FINAL_832_832_18.tif,01 Whitecoats,114.0,266.0,StitchMICE_OHss16_1_1001_CP_FINAL.tif,174.0,326.0
48409,StitchMICE_OHss16_1_1001_CP_FINAL_832_832_18.tif,01 Whitecoats,-13.0,550.0,StitchMICE_OHss16_1_1001_CP_FINAL.tif,47.0,610.0
48397,StitchMICE_OHss16_1_1001_CP_FINAL_832_832_19.tif,01 Whitecoats,299.0,-12.0,StitchMICE_OHss16_1_1001_CP_FINAL.tif,359.0,48.0
67644,StitchMICE_ORKlg16_3_1103_CP_FINAL_832_832_7.tif,01 Whitecoats,150.0,801.0,StitchMICE_ORKlg16_3_1103_CP_FINAL.tif,210.0,861.0
67590,StitchMICE_ORKlg16_3_1103_CP_FINAL_832_832_11.tif,01 Whitecoats,103.0,606.0,StitchMICE_ORKlg16_3_1103_CP_FINAL.tif,163.0,666.0
67591,StitchMICE_ORKlg16_3_1103_CP_FINAL_832_832_11.tif,01 Whitecoats,735.0,524.0,StitchMICE_ORKlg16_3_1103_CP_FINAL.tif,795.0,584.0
67673,StitchMICE_ORKlg16_3_1103_CP_FINAL_832_832_11.tif,06 Hg-Juveniles,702.0,484.0,StitchMICE_ORKlg16_3_1103_CP_FINAL.tif,762.0,544.0
15279,StitchMICE_IHor16_4_1022_CP_FINAL_832_832_4.tif,02 Moulted,761.0,682.0,StitchMICE_IHor16_4_1022_CP_FINAL.tif,821.0,742.0
15280,StitchMICE_IHor16_4_1022_CP_FINAL_832_832_4.tif,02 Moulted,741.0,732.0,StitchMICE_IHor16_4_1022_CP_FINAL.tif,801.0,792.0
15289,StitchMICE_IHor16_4_1022_CP_FINAL_832_832_4.tif,02 Moulted,495.0,28.0,StitchMICE_IHor16_4_1022_CP_FINAL.tif,555.0,88.0
15290,StitchMICE_IHor16_4_1022_CP_FINAL_832_832_4.tif,02 Moulted,246.0,120.0,StitchMICE_IHor16_4_1022_CP_FINAL.tif,306.0,180.0
15291,StitchMICE_IHor16_4_1022_CP_FINAL_832_832_4.tif,02 Moulted,294.0,199.0,StitchMICE_IHor16_4_1022_CP_FINAL.tif,354.0,259.0
15281,StitchMICE_IHor16_4_1022_CP_FINAL_832_832_5.tif,02 Moulted,341.0,620.0,StitchMICE_IHor16_4_1022_CP_FINAL.tif,401.0,680.0
15425,StitchMICE_IHor16_4_1022_CP_FINAL_832_832_5.tif,01 Whitecoats,-15.0,755.0,StitchMICE_IHor16_4_1022_CP_FINAL.tif,45.0,815.0
15426,StitchMICE_IHor16_4_1022_CP_FINAL_832_832_5.tif,01 Whitecoats,208.0,179.0,StitchMICE_IHor16_4_1022_CP_FINAL.tif,268.0,239.0
0,StitchMICE_FoFcr16_1_1012_CP_FINAL_832_832_0.tif,,,,StitchMICE_FoFcr16_1_1012_CP_FINAL.tif,,
0,StitchMICE_FoFcr16_1_1012_CP_FINAL_832_832_1.tif,,,,StitchMICE_FoFcr16_1_1012_CP_FINAL.tif,,
0,StitchMICE_FoFcr16_1_1012_CP_FINAL_832_832_2.tif,,,,StitchMICE_FoFcr16_1_1012_CP_FINAL.tif,,
84926,StitchMICE_ORKsh16_3_1103_CP_FINAL_832_832_4.tif,01 Whitecoats,729.0,469.0,StitchMICE_ORKsh16_3_1103_CP_FINAL.tif,789.0,529.0
84928,StitchMICE_ORKsh16_3_1103_CP_FINAL_832_832_5.tif,01 Whitecoats,49.0,247.0,StitchMICE_ORKsh16_3_1103_CP_FINAL.tif,109.0,307.0
84823,StitchMICE_ORKsh16_3_1103_CP_FINAL_832_832_17.tif,01 Whitecoats,130.0,281.0,StitchMICE_ORKsh16_3_1103_CP_FINAL.tif,190.0,341.0
84824,StitchMICE_ORKsh16_3_1103_CP_FINAL_832_832_17.tif,01 Whitecoats,244.0,783.0,StitchMICE_ORKsh16_3_1103_CP_FINAL.tif,304.0,843.0
49782,StitchMICE_ORKau16_2_1023_CP_FINAL_832_832_43.tif,01 Whitecoats,250.0,611.0,StitchMICE_ORKau16_2_1023_CP_FINAL.tif,310.0,671.0
8482,StitchMICE_IHer16_4_1022_CP_FINAL_832_832_3.tif,02 Moulted,774.0,729.0,StitchMICE_IHer16_4_1022_CP_FINAL.tif,834.0,789.0
8475,StitchMICE_IHer16_4_1022_CP_FINAL_832_832_4.tif,02 Moulted,499.0,656.0,StitchMICE_IHer16_4_1022_CP_FINAL.tif,559.0,716.0
8483,StitchMICE_IHer16_4_1022_CP_FINAL_832_832_4.tif,02 Moulted,114.0,274.0,StitchMICE_IHer16_4_1022_CP_FINAL.tif,174.0,334.0
8660,StitchMICE_IHer16_4_1022_CP_FINAL_832_832_4.tif,01 Whitecoats,417.0,56.0,StitchMICE_IHer16_4_1022_CP_FINAL.tif,477.0,116.0
8476,StitchMICE_IHer16_4_1022_CP_FINAL_832_832_5.tif,02 Moulted,297.0,151.0,StitchMICE_IHer16_4_1022_CP_FINAL.tif,357.0,211.0
8655,StitchMICE_IHer16_4_1022_CP_FINAL_832_832_5.tif,01 Whitecoats,376.0,67.0,StitchMICE_IHer16_4_1022_CP_FINAL.tif,436.0,127.0
8659,StitchMICE_IHer16_4_1022_CP_FINAL_832_832_5.tif,01 Whitecoats,31.0,445.0,StitchMICE_IHer16_4_1022_CP_FINAL.tif,91.0,505.0
8473,StitchMICE_IHer16_4_1022_CP_FINAL_832_832_7.tif,02 Moulted,368.0,450.0,StitchMICE_IHer16_4_1022_CP_FINAL.tif,428.0,510.0
8474,StitchMICE_IHer16_4_1022_CP_FINAL_832_832_7.tif,02 Moulted,177.0,206.0,StitchMICE_IHer16_4_1022_CP_FINAL.tif,237.0,266.0
8651,StitchMICE_IHer16_4_1022_CP_FINAL_832_832_7.tif,01 Whitecoats,414.0,116.0,StitchMICE_IHer16_4_1022_CP_FINAL.tif,474.0,176.0
8652,StitchMICE_IHer16_4_1022_CP_FINAL_832_832_7.tif,01 Whitecoats,480.0,142.0,StitchMICE_IHer16_4_1022_CP_FINAL.tif,540.0,202.0
8653,StitchMICE_IHer16_4_1022_CP_FINAL_832_832_7.tif,01 Whitecoats,522.0,133.0,StitchMICE_IHer16_4_1022_CP_FINAL.tif,582.0,193.0
8654,StitchMICE_IHer16_4_1022_CP_FINAL_832_832_7.tif,01 Whitecoats,104.0,251.0,StitchMICE_IHer16_4_1022_CP_FINAL.tif,164.0,311.0
8642,StitchMICE_IHer16_4_1022_CP_FINAL_832_832_8.tif,01 Whitecoats,350.0,121.0,StitchMICE_IHer16_4_1022_CP_FINAL.tif,410.0,181.0
8464,StitchMICE_IHer16_4_1022_CP_FINAL_832_832_11.tif,02 Moulted,-18.0,64.0,StitchMICE_IHer16_4_1022_CP_FINAL.tif,42.0,124.0
65876,StitchMICE_ORKhs16_1_1013_CP_FINAL_832_832_3.tif,01 Whitecoats,695.0,249.0,StitchMICE_ORKhs16_1_1013_CP_FINAL.tif,755.0,309.0
65859,StitchMICE_ORKhs16_1_1013_CP_FINAL_832_832_7.tif,01 Whitecoats,702.0,-21.0,StitchMICE_ORKhs16_1_1013_CP_FINAL.tif,762.0,39.0
63988,StitchMICE_ORKhh16_1_1013_CP_FINAL_832_832_5.tif,01 Whitecoats,203.0,74.0,StitchMICE_ORKhh16_1_1013_CP_FINAL.tif,263.0,134.0
63954,StitchMICE_ORKhh16_1_1013_CP_FINAL_832_832_21.tif,01 Whitecoats,660.0,384.0,StitchMICE_ORKhh16_1_1013_CP_FINAL.tif,720.0,444.0
67833,StitchMICE_ORKlg16_5_1129_CP_FINAL_832_832_3.tif,01 Whitecoats,116.0,275.0,StitchMICE_ORKlg16_5_1129_CP_FINAL.tif,176.0,335.0
67835,StitchMICE_ORKlg16_5_1129_CP_FINAL_832_832_3.tif,01 Whitecoats,768.0,693.0,StitchMICE_ORKlg16_5_1129_CP_FINAL.tif,828.0,753.0
67877,StitchMICE_ORKlg16_5_1129_CP_FINAL_832_832_4.tif,02 Moulted,601.0,150.0,StitchMICE_ORKlg16_5_1129_CP_FINAL.tif,661.0,210.0
67878,StitchMICE_ORKlg16_5_1129_CP_FINAL_832_832_4.tif,02 Moulted,279.0,303.0,StitchMICE_ORKlg16_5_1129_CP_FINAL.tif,339.0,363.0
67879,StitchMICE_ORKlg16_5_1129_CP_FINAL_832_832_4.tif,02 Moulted,199.0,326.0,StitchMICE_ORKlg16_5_1129_CP_FINAL.tif,259.0,386.0
67869,StitchMICE_ORKlg16_5_1129_CP_FINAL_832_832_6.tif,02 Moulted,190.0,779.0,StitchMICE_ORKlg16_5_1129_CP_FINAL.tif,250.0,839.0
67867,StitchMICE_ORKlg16_5_1129_CP_FINAL_832_832_8.tif,02 Moulted,382.0,99.0,StitchMICE_ORKlg16_5_1129_CP_FINAL.tif,442.0,159.0
67845,StitchMICE_ORKlg16_5_1129_CP_FINAL_832_832_11.tif,02 Moulted,172.0,440.0,StitchMICE_ORKlg16_5_1129_CP_FINAL.tif,232.0,500.0
93713,StitchMICE_ORKws16_4_1117_CP_FINAL_832_832_2.tif,01 Whitecoats,565.0,341.0,StitchMICE_ORKws16_4_1117_CP_FINAL.tif,625.0,401.0
93745,StitchMICE_ORKws16_4_1117_CP_FINAL_832_832_2.tif,02 Moulted,441.0,292.0,StitchMICE_ORKws16_4_1117_CP_FINAL.tif,501.0,352.0
93741,StitchMICE_ORKws16_4_1117_CP_FINAL_832_832_4.tif,02 Moulted,414.0,694.0,StitchMICE_ORKws16_4_1117_CP_FINAL.tif,474.0,754.0
93736,StitchMICE_ORKws16_4_1117_CP_FINAL_832_832_6.tif,02 Moulted,38.0,314.0,StitchMICE_ORKws16_4_1117_CP_FINAL.tif,98.0,374.0
93737,StitchMICE_ORKws16_4_1117_CP_FINAL_832_832_6.tif,02 Moulted,156.0,132.0,StitchMICE_ORKws16_4_1117_CP_FINAL.tif,216.0,192.0
85956,StitchMICE_ORKsi16_2_1023_CP_FINAL_832_832_6.tif,01 Whitecoats,506.0,625.0,StitchMICE_ORKsi16_2_1023_CP_FINAL.tif,566.0,685.0
85954,StitchMICE_ORKsi16_2_1023_CP_FINAL_832_832_8.tif,01 Whitecoats,642.0,632.0,StitchMICE_ORKsi16_2_1023_CP_FINAL.tif,702.0,692.0
85931,StitchMICE_ORKsi16_2_1023_CP_FINAL_832_832_12.tif,01 Whitecoats,139.0,409.0,StitchMICE_ORKsi16_2_1023_CP_FINAL.tif,199.0,469.0
85932,StitchMICE_ORKsi16_2_1023_CP_FINAL_832_832_12.tif,01 Whitecoats,335.0,446.0,StitchMICE_ORKsi16_2_1023_CP_FINAL.tif,395.0,506.0
85933,StitchMICE_ORKsi16_2_1023_CP_FINAL_832_832_12.tif,01 Whitecoats,584.0,343.0,StitchMICE_ORKsi16_2_1023_CP_FINAL.tif,644.0,403.0
85934,StitchMICE_ORKsi16_2_1023_CP_FINAL_832_832_12.tif,01 Whitecoats,618.0,502.0,StitchMICE_ORKsi16_2_1023_CP_FINAL.tif,678.0,562.0
85936,StitchMICE_ORKsi16_2_1023_CP_FINAL_832_832_12.tif,01 Whitecoats,223.0,799.0,StitchMICE_ORKsi16_2_1023_CP_FINAL.tif,283.0,859.0
85935,StitchMICE_ORKsi16_2_1023_CP_FINAL_832_832_13.tif,01 Whitecoats,95.0,189.0,StitchMICE_ORKsi16_2_1023_CP_FINAL.tif,155.0,249.0
85937,StitchMICE_ORKsi16_2_1023_CP_FINAL_832_832_13.tif,01 Whitecoats,253.0,9.0,StitchMICE_ORKsi16_2_1023_CP_FINAL.tif,313.0,69.0
85911,StitchMICE_ORKsi16_2_1023_CP_FINAL_832_832_14.tif,01 Whitecoats,35.0,719.0,StitchMICE_ORKsi16_2_1023_CP_FINAL.tif,95.0,779.0
85918,StitchMICE_ORKsi16_2_1023_CP_FINAL_832_832_14.tif,01 Whitecoats,130.0,73.0,StitchMICE_ORKsi16_2_1023_CP_FINAL.tif,190.0,133.0
85919,StitchMICE_ORKsi16_2_1023_CP_FINAL_832_832_14.tif,01 Whitecoats,60.0,205.0,StitchMICE_ORKsi16_2_1023_CP_FINAL.tif,120.0,265.0
85920,StitchMICE_ORKsi16_2_1023_CP_FINAL_832_832_14.tif,01 Whitecoats,91.0,405.0,StitchMICE_ORKsi16_2_1023_CP_FINAL.tif,151.0,465.0
85882,StitchMICE_ORKsi16_2_1023_CP_FINAL_832_832_16.tif,01 Whitecoats,153.0,350.0,StitchMICE_ORKsi16_2_1023_CP_FINAL.tif,213.0,410.0
85883,StitchMICE_ORKsi16_2_1023_CP_FINAL_832_832_16.tif,01 Whitecoats,529.0,142.0,StitchMICE_ORKsi16_2_1023_CP_FINAL.tif,589.0,202.0
1,StitchMICE_FoFcr16_2_1024_CP_FINAL_832_832_1.tif,01 Whitecoats,205.0,427.0,StitchMICE_FoFcr16_2_1024_CP_FINAL.tif,265.0,487.0
92247,StitchMICE_ORKss16_4_1117_CP_FINAL_832_832_5.tif,01 Whitecoats,63.0,-27.0,StitchMICE_ORKss16_4_1117_CP_FINAL.tif,123.0,33.0
92794,StitchMICE_ORKss16_4_1117_CP_FINAL_832_832_5.tif,02 Moulted,74.0,63.0,StitchMICE_ORKss16_4_1117_CP_FINAL.tif,134.0,123.0
92869,StitchMICE_ORKss16_4_1117_CP_FINAL_832_832_12.tif,02 Moulted,715.0,418.0,StitchMICE_ORKss16_4_1117_CP_FINAL.tif,775.0,478.0
92403,StitchMICE_ORKss16_4_1117_CP_FINAL_832_832_14.tif,01 Whitecoats,155.0,169.0,StitchMICE_ORKss16_4_1117_CP_FINAL.tif,215.0,229.0
92472,StitchMICE_ORKss16_4_1117_CP_FINAL_832_832_21.tif,01 Whitecoats,76.0,660.0,StitchMICE_ORKss16_4_1117_CP_FINAL.tif,136.0,720.0
15825,StitchMICE_IHsc16_1_0921_CP_FINAL_832_832_5.tif,01 Whitecoats,139.0,365.0,StitchMICE_IHsc16_1_0921_CP_FINAL.tif,199.0,425.0
15824,StitchMICE_IHsc16_1_0921_CP_FINAL_832_832_6.tif,01 Whitecoats,88.0,658.0,StitchMICE_IHsc16_1_0921_CP_FINAL.tif,148.0,718.0
14761,StitchMICE_IHor16_2_1001_CP_FINAL_832_832_15.tif,02 Moulted,296.0,122.0,StitchMICE_IHor16_2_1001_CP_FINAL.tif,356.0,182.0
14921,StitchMICE_IHor16_2_1001_CP_FINAL_832_832_15.tif,01 Whitecoats,195.0,707.0,StitchMICE_IHor16_2_1001_CP_FINAL.tif,255.0,767.0
45346,StitchMICE_OHpa16_5_1118_CP_FINAL_832_832_8.tif,03 Dead Pups,594.0,724.0,StitchMICE_OHpa16_5_1118_CP_FINAL.tif,654.0,784.0
79667,StitchMICE_ORKlo16_3_1103_CP_FINAL_832_832_0.tif,,,,StitchMICE_ORKlo16_3_1103_CP_FINAL.tif,,
79667,StitchMICE_ORKlo16_3_1103_CP_FINAL_832_832_1.tif,,,,StitchMICE_ORKlo16_3_1103_CP_FINAL.tif,,
79667,StitchMICE_ORKlo16_3_1103_CP_FINAL_832_832_2.tif,,,,StitchMICE_ORKlo16_3_1103_CP_FINAL.tif,,
79667,StitchMICE_ORKlo16_3_1103_CP_FINAL_832_832_3.tif,,,,StitchMICE_ORKlo16_3_1103_CP_FINAL.tif,,
79667,StitchMICE_ORKlo16_3_1103_CP_FINAL_832_832_4.tif,,,,StitchMICE_ORKlo16_3_1103_CP_FINAL.tif,,
79667,StitchMICE_ORKlo16_3_1103_CP_FINAL_832_832_5.tif,,,,StitchMICE_ORKlo16_3_1103_CP_FINAL.tif,,
79667,StitchMICE_ORKlo16_3_1103_CP_FINAL_832_832_6.tif,,,,StitchMICE_ORKlo16_3_1103_CP_FINAL.tif,,
79667,StitchMICE_ORKlo16_3_1103_CP_FINAL_832_832_7.tif,,,,StitchMICE_ORKlo16_3_1103_CP_FINAL.tif,,
79667,StitchMICE_ORKlo16_3_1103_CP_FINAL_832_832_8.tif,,,,StitchMICE_ORKlo16_3_1103_CP_FINAL.tif,,
79667,StitchMICE_ORKlo16_3_1103_CP_FINAL_832_832_9.tif,,,,StitchMICE_ORKlo16_3_1103_CP_FINAL.tif,,
67563,StitchMICE_ORKlg16_2_1023_CP_FINAL_832_832_9.tif,01 Whitecoats,223.0,453.0,StitchMICE_ORKlg16_2_1023_CP_FINAL.tif,283.0,513.0
67564,StitchMICE_ORKlg16_2_1023_CP_FINAL_832_832_9.tif,01 Whitecoats,334.0,525.0,StitchMICE_ORKlg16_2_1023_CP_FINAL.tif,394.0,585.0
86464,StitchMICE_ORKsi16_3_1103_CP_FINAL_832_832_6.tif,01 Whitecoats,157.0,383.0,StitchMICE_ORKsi16_3_1103_CP_FINAL.tif,217.0,443.0
86392,StitchMICE_ORKsi16_3_1103_CP_FINAL_832_832_12.tif,01 Whitecoats,404.0,372.0,StitchMICE_ORKsi16_3_1103_CP_FINAL.tif,464.0,432.0
86421,StitchMICE_ORKsi16_3_1103_CP_FINAL_832_832_12.tif,01 Whitecoats,598.0,353.0,StitchMICE_ORKsi16_3_1103_CP_FINAL.tif,658.0,413.0
86422,StitchMICE_ORKsi16_3_1103_CP_FINAL_832_832_12.tif,01 Whitecoats,705.0,357.0,StitchMICE_ORKsi16_3_1103_CP_FINAL.tif,765.0,417.0
86423,StitchMICE_ORKsi16_3_1103_CP_FINAL_832_832_12.tif,01 Whitecoats,783.0,237.0,StitchMICE_ORKsi16_3_1103_CP_FINAL.tif,843.0,297.0
86424,StitchMICE_ORKsi16_3_1103_CP_FINAL_832_832_12.tif,01 Whitecoats,799.0,298.0,StitchMICE_ORKsi16_3_1103_CP_FINAL.tif,859.0,358.0
86436,StitchMICE_ORKsi16_3_1103_CP_FINAL_832_832_12.tif,01 Whitecoats,30.0,222.0,StitchMICE_ORKsi16_3_1103_CP_FINAL.tif,90.0,282.0
86437,StitchMICE_ORKsi16_3_1103_CP_FINAL_832_832_12.tif,01 Whitecoats,383.0,281.0,StitchMICE_ORKsi16_3_1103_CP_FINAL.tif,443.0,341.0
86513,StitchMICE_ORKsi16_3_1103_CP_FINAL_832_832_12.tif,14 Doubles,350.0,390.0,StitchMICE_ORKsi16_3_1103_CP_FINAL.tif,410.0,450.0
86514,StitchMICE_ORKsi16_3_1103_CP_FINAL_832_832_12.tif,14 Doubles,327.0,301.0,StitchMICE_ORKsi16_3_1103_CP_FINAL.tif,387.0,361.0
86363,StitchMICE_ORKsi16_3_1103_CP_FINAL_832_832_13.tif,01 Whitecoats,402.0,780.0,StitchMICE_ORKsi16_3_1103_CP_FINAL.tif,462.0,840.0
86397,StitchMICE_ORKsi16_3_1103_CP_FINAL_832_832_13.tif,01 Whitecoats,594.0,12.0,StitchMICE_ORKsi16_3_1103_CP_FINAL.tif,654.0,72.0
86398,StitchMICE_ORKsi16_3_1103_CP_FINAL_832_832_13.tif,01 Whitecoats,415.0,177.0,StitchMICE_ORKsi16_3_1103_CP_FINAL.tif,475.0,237.0
86399,StitchMICE_ORKsi16_3_1103_CP_FINAL_832_832_13.tif,01 Whitecoats,380.0,351.0,StitchMICE_ORKsi16_3_1103_CP_FINAL.tif,440.0,411.0
86400,StitchMICE_ORKsi16_3_1103_CP_FINAL_832_832_13.tif,01 Whitecoats,181.0,388.0,StitchMICE_ORKsi16_3_1103_CP_FINAL.tif,241.0,448.0
86402,StitchMICE_ORKsi16_3_1103_CP_FINAL_832_832_13.tif,01 Whitecoats,190.0,134.0,StitchMICE_ORKsi16_3_1103_CP_FINAL.tif,250.0,194.0
86484,StitchMICE_ORKsi16_3_1103_CP_FINAL_832_832_13.tif,02 Moulted,435.0,704.0,StitchMICE_ORKsi16_3_1103_CP_FINAL.tif,495.0,764.0
86504,StitchMICE_ORKsi16_3_1103_CP_FINAL_832_832_13.tif,03 Dead Pups,288.0,588.0,StitchMICE_ORKsi16_3_1103_CP_FINAL.tif,348.0,648.0
86359,StitchMICE_ORKsi16_3_1103_CP_FINAL_832_832_14.tif,01 Whitecoats,419.0,523.0,StitchMICE_ORKsi16_3_1103_CP_FINAL.tif,479.0,583.0
86360,StitchMICE_ORKsi16_3_1103_CP_FINAL_832_832_14.tif,01 Whitecoats,306.0,414.0,StitchMICE_ORKsi16_3_1103_CP_FINAL.tif,366.0,474.0
86361,StitchMICE_ORKsi16_3_1103_CP_FINAL_832_832_14.tif,01 Whitecoats,280.0,-27.0,StitchMICE_ORKsi16_3_1103_CP_FINAL.tif,340.0,33.0
86512,StitchMICE_ORKsi16_3_1103_CP_FINAL_832_832_14.tif,14 Doubles,154.0,332.0,StitchMICE_ORKsi16_3_1103_CP_FINAL.tif,214.0,392.0
